utt_id,spk_id,text,duration,audio_path,original_path
97c06f8b39,6a6d1,भौतिक विज्ञानले कुनै,3.0,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\97c06f8b39.wav,filtered_audio\6a6d1\97c06f8b39.flac
48e8538fbd,f4b4a,मन्दिर लिच्छवि कला,4.1,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\48e8538fbd.wav,filtered_audio\f4b4a\48e8538fbd.flac
06c5b9782c,55c0f,निम्ति दान गरे,3.6,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\06c5b9782c.wav,filtered_audio\55c0f\06c5b9782c.flac
d3b90b0f6e,c7f90,उमेरमा नुवाकोटको,4.7,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\d3b90b0f6e.wav,filtered_audio\c7f90\d3b90b0f6e.flac
313a47641a,90bdd,गीतहरूको सिर्जना गर्ने,3.9,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\313a47641a.wav,filtered_audio\90bdd\313a47641a.flac
f5a565b3f8,ceb25,नौवहन मार्गदर्शक जेम्स,7.0,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\f5a565b3f8.wav,filtered_audio\ceb25\f5a565b3f8.flac
5a05831350,9f669,साथ र संगत नभइदिएको,4.6,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\5a05831350.wav,filtered_audio\9f669\5a05831350.flac
ffb90e4e8d,55c0f,सबै भाषा,2.7,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\ffb90e4e8d.wav,filtered_audio\55c0f\ffb90e4e8d.flac
2e711697d8,b7116,आफ्ना नेपालको पूर्वी,4.4,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\2e711697d8.wav,filtered_audio\b7116\2e711697d8.flac
a621b0648f,b7116,इस्वीमा गरेका थिए,4.4,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\a621b0648f.wav,filtered_audio\b7116\a621b0648f.flac
dcb60f8f52,b7116,तनहुँ जिल्लाको दमौलीबाट,4.6,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\dcb60f8f52.wav,filtered_audio\b7116\dcb60f8f52.flac
91ac06eeb1,f7175,कुनै भागमा कुनै,4.6,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\91ac06eeb1.wav,filtered_audio\f7175\91ac06eeb1.flac
78712fc035,f7175,यसबाट केही वा सबै,4.7,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\78712fc035.wav,filtered_audio\f7175\78712fc035.flac
3324ea49cd,b77af,देवराज इन्द्र पनौतीमा,7.0,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\3324ea49cd.wav,filtered_audio\b77af\3324ea49cd.flac
bca4da8644,6a6d1,जन्म 3 अप्रिल 1975,2.8,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\bca4da8644.wav,filtered_audio\6a6d1\bca4da8644.flac
fd7637bbad,73d74,आफ्नै पाराले मनाउने,3.9,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\fd7637bbad.wav,filtered_audio\73d74\fd7637bbad.flac
cd2be7afe0,f4b4a,संयोजक तथा माओवादी,5.1,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\cd2be7afe0.wav,filtered_audio\f4b4a\cd2be7afe0.flac
572147cc8a,f7175,जीरा एक प्रकारको,4.6,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\572147cc8a.wav,filtered_audio\f7175\572147cc8a.flac
95c864c96c,b7116,सोमनाथ घिमिरे व्यासलाई,4.3,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\95c864c96c.wav,filtered_audio\b7116\95c864c96c.flac
e771888389,55c0f,बौद्ध धर्मले पुराना,3.1,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\e771888389.wav,filtered_audio\55c0f\e771888389.flac
b006425cda,c7f90,त्यस जातकले आफ्नो,5.2,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\b006425cda.wav,filtered_audio\c7f90\b006425cda.flac
5d484c1d8c,55c0f,काडाँ बझाङ जिल्लाको,5.3,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\5d484c1d8c.wav,filtered_audio\55c0f\5d484c1d8c.flac
b9bd2c08de,76dab,पाइँदो रहेछ,3.7,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\b9bd2c08de.wav,filtered_audio\76dab\b9bd2c08de.flac
b8c4565975,c7f90,पुराना किल्लालाई पाण्डवहरूको,5.4,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\b8c4565975.wav,filtered_audio\c7f90\b8c4565975.flac
5b90e22e98,9f669,आफ्नो अङ्क गणनाका,4.7,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\5b90e22e98.wav,filtered_audio\9f669\5b90e22e98.flac
5112e76c2e,8efbc,तर उनले मेरो पढाइ छुट्यो भनेर विश्वास गरिनन्।,5.5,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\5112e76c2e.wav,filtered_audio\8efbc\5112e76c2e.flac
