utt_id,spk_id,text,duration,audio_path,original_path
fa02a9e847,24945,105 भन्दा बढीको,3.4,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\fa02a9e847.wav,filtered_audio\24945\fa02a9e847.flac
94992ba831,24945,10 वर्षको जनयुद्धमा,3.7,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\94992ba831.wav,filtered_audio\24945\94992ba831.flac
2c0e27b45b,24945,113 वटा शाखा रहेका छन्,4.6,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\2c0e27b45b.wav,filtered_audio\24945\2c0e27b45b.flac
f4dbbc0b7a,24945,11 नोभेम्बर 1975,4.1,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\f4dbbc0b7a.wav,filtered_audio\24945\f4dbbc0b7a.flac
4876a8d120,24945,15 नोभेम्बर 1967,4.2,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\4876a8d120.wav,filtered_audio\24945\4876a8d120.flac
f8cfa19822,24945,1949 मा प्रति,3.7,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\f8cfa19822.wav,filtered_audio\24945\f8cfa19822.flac
6efb71177f,24945,1985 साउन 25 मा,4.4,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\6efb71177f.wav,filtered_audio\24945\6efb71177f.flac
3139ebe636,24945,1992 अगस्ट 20,4.0,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\3139ebe636.wav,filtered_audio\24945\3139ebe636.flac
014dc6a49c,24945,1996बाट तन्जानियाको सरकारी राजधानी दोदोमा हो जहाँ संसद र केही सरकारी कार्यालय स्थित छन्।,7.0,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\014dc6a49c.wav,filtered_audio\24945\014dc6a49c.flac
9c14aa6513,24945,1997 मा संविधान,4.4,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\9c14aa6513.wav,filtered_audio\24945\9c14aa6513.flac
0ec865c5d4,24945,19 औँ शताब्दीका,3.7,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\0ec865c5d4.wav,filtered_audio\24945\0ec865c5d4.flac
c845e99063,24945,2051 सालमा बागमती,3.9,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\c845e99063.wav,filtered_audio\24945\c845e99063.flac
32a16f4e76,24945,2062 फागुन 2 गतेको,4.1,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\32a16f4e76.wav,filtered_audio\24945\32a16f4e76.flac
a6808e859c,24945,26 कोष पूर्वमा,3.1,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\a6808e859c.wav,filtered_audio\24945\a6808e859c.flac
1a594fcc22,24945,30 तारिखका दिन,2.8,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\1a594fcc22.wav,filtered_audio\24945\1a594fcc22.flac
4f2df2dc0b,24945,3 तिब्बती मान्छेको,3.4,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\4f2df2dc0b.wav,filtered_audio\24945\4f2df2dc0b.flac
3575bde31e,24945,41 मिनेटदेखि 82,4.3,C:\Users\kriti\OneDrive\Pictures\nepali_tts\preprocessed_audio\wavs\3575bde31e.wav,filtered_audio\24945\3575bde31e.flac
